Date,Text,Link,Media URL,Title,Label,Alt text(s),Comment(s),"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,Reminder
,"One jar of sauerkraut. Thirty days. Watch. 🫙

📆 Week 1: the new tenants move in 🦠
📆 Week 2: less bloating after meals 🌬️
📆 Week 3: regularity you could set a watch to ⏰
📆 Week 4: microbial diversity up — immunity's foundation 🛡️

🛠️ The Strategy: one forkful of sauerkraut 🫙, kefir 🥛 or miso 🍜 with one meal a day. That's it.

🔖 Save this for your next food shop 🛒 (and tag someone scared of the fermented aisle)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#GutHealth #FermentedFoods #Probiotics #30DayChallenge",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/gut_30_days_fermented.mp4,Gut: 30 Days of Fermented Foods,kalsang-b2,"3D health infographic: Gut: 30 Days of Fermented Foods by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Cheaper than any serum you own. 💧

📆 Week 1: headaches quietly leave 🤔
📆 Week 2: skin plumps, fine lines soften ✨
📆 Week 3: dark circles lighten 👁
📆 Week 4: the glow people ask about 🌟

🛠️ The Strategy: first glass before coffee ☀️, a pinch of salt + lemon for electrolytes 🧂🍋.

🔖 Save this and fill a bottle now 🧴 (and tag someone who thinks coffee counts as water)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#HydrationChallenge #GlowUp #SkinCare #WaterChallenge",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/face_30_days_water.mp4,Face: 30 Days of 3 Liters,kalsang-b2,"3D health infographic: Face: 30 Days of 3 Liters by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Waking at 3AM isn't random. Your body runs on a schedule. 🕐

🫀 1AM-3AM: the liver's deep-clean shift
🧠 If it's overloaded — late meals, alcohol, sugar — it wakes the whole building

🛠️ The Strategy: last meal by 8PM 🍽️ · magnesium foods at dinner 🎃 · warm water before bed 🍵

🔖 Save this for tonight 🛏️ (and tag the 3AM ceiling-starer in your life)

💬 Comment SLEEP and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#SleepTips #3AMClub #LiverHealth #DeepSleep",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/three_am_wakeup.mp4,Why You Wake at 3AM,kalsang-b2,"3D health infographic: Why You Wake at 3AM by Master Kalsang, The Quiet Hand",Comment SLEEP and I'll send you the full protocol.,,Reel,,
,"Always-cold hands can be your thyroid whispering. 🧊

🦋 The thyroid sets your body's thermostat
🪄 When it runs slow, the extremities lose heat first

🛠️ The Strategy: selenium 🌰 (2 brazil nuts a day) · iodine 🍜 (seaweed) · warm protein meals 🍲. Persistent symptoms deserve a proper thyroid panel — ask your doctor.

🔖 Save this for the always-freezing friend 🧤 (you know exactly who to tag)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#ThyroidHealth #ColdHands #HormoneHealth #Metabolism",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/cold_hands_thyroid.mp4,Cold Hands & Your Thyroid,kalsang-b2,"3D health infographic: Cold Hands & Your Thyroid by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"The afternoon crash isn't a character flaw. It's a rollercoaster. 🎢

📈 Sugar rush at lunch → insulin spike → 📉 the 2PM plunge

🛠️ The Strategy: protein first 🥚 · fiber 🌾 · a splash of vinegar before meals 🥣. Flatten the track, keep the energy.

🔖 Save this for tomorrow's lunch 🍱 (and tag your 2PM zombie coworker 🧟)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#EnergyCrash #BloodSugar #InsulinResistance #ProductivityTips",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/two_pm_crash.mp4,The 2PM Crash Explained,kalsang-b2,"3D health infographic: The 2PM Crash Explained by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Bloated after a SALAD? Your gut army is outnumbered. 🥗

🦠 Raw fiber needs bacteria to break it down
📉 A depleted microbiome gets overwhelmed — hence the balloon

🛠️ The Strategy: start small 🌱 · cook your greens 🍳 · add fermented foods 🫙 to rebuild the workforce first.

🔖 Save this if salads betray you 🥗 (and tag someone who swears they're 'healthy but bloated')

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#Bloating #GutHealth #IBS #DigestiveHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/bloated_after_salad.mp4,Bloated After a Salad?,kalsang-b2,"3D health infographic: Bloated After a Salad? by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Your kidneys ranked your favorite drinks. Prepare to be offended. 🫘

🥇 S: water 💧
🥈 A: green tea 🍵
🥉 B: coconut water 🥥
C: kombucha 🧉
D: fresh juice 🍊
❌ F: energy drinks ⚡

🛠️ The Strategy: the filters never sleep. Send them something easy.

🔖 Defend your favorite in the comments ⚔️ (and tag the F-tier friend)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#KidneyHealth #TierList #Hydration #HealthyDrinks",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/kidney_drink_tierlist.mp4,Drinks Ranked by Your Kidneys,kalsang-b2,"3D health infographic: Drinks Ranked by Your Kidneys by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Five 'health foods' wearing a costume. 🎭

🥣 Granola → candy in a bowl (up to 20g sugar per serving)
🍫 Protein bars → many are candy bars with a gym membership
🥤 Diet soda → trains the sweet tooth it claims to spare
🍨 Flavored yogurt → dessert with a health halo
🥔 Veggie chips → potato chips in a green costume

🛠️ The Strategy: read the back label, not the front promise.

🔖 Save this for your next shop 🛒 (and tag the granola loyalist gently)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#HealthFoods #NutritionMyths #FoodLabels #HealthyEating",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/fake_health_foods.mp4,5 'Health Foods' Unmasked,kalsang-b2,"3D health infographic: 5 'Health Foods' Unmasked by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"While you sleep, a crew clocks in. 🌗

🫀 Liver: filtering the day's ledger
🧠 Brain: flushing waste through the glymphatic system
💪 Muscles: stitching repairs with growth hormone

🛠️ The Strategy: sleep by 10PM 🌙 · dark room 🔦❌ · no late meals 🍽️❌. Don't make the crew work around you.

🔖 Save this for tonight 🛏️ (and tag someone who 'functions fine' on 5 hours)

💬 Comment SLEEP and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#SleepHealth #DeepSleep #Recovery #SleepTips",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/night_shift.mp4,Night Shift: What Repairs While You Sleep,kalsang-b2,"3D health infographic: Night Shift: What Repairs While You Sleep by Master Kalsang, The Quiet Hand",Comment SLEEP and I'll send you the full protocol.,,Reel,,
,"You have an army. You've been starving it. 🛡️

⚔️ White blood cells patrol 24/7 — they just need supplies
📦 Restock the armory: garlic 🧄 · mushrooms 🍄 · citrus 🍊 · ginger 🫚

🛠️ The Strategy: immunity isn't built in sick week. It's built at dinner, every night.

🔖 Save this for flu season 🤧 (and tag someone who's always catching 'the thing going around')

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#ImmuneSupport #ImmuneSystem #NaturalRemedies #WinterWellness",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/immune_patrol.mp4,Your Immune Army's Daily Patrol,kalsang-b2,"3D health infographic: Your Immune Army's Daily Patrol by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
